simulation_window,planning_window,num_agents,seed,status,returncode,completed_tasks,throughput_per_step,mean_solver_time,total_solver_time,planning_calls
1,5,96,10,ok,0,344,1.34375,0.014891472656249988,3.812216999999997,256
1,5,96,11,ok,0,337,1.31640625,0.013722593749999996,3.512983999999999,256
1,5,96,12,ok,0,350,1.3671875,0.013731699218749996,3.515314999999999,256
1,5,96,13,ok,0,345,1.34765625,0.01583051562500001,4.0526120000000025,256
1,5,96,14,ok,0,349,1.36328125,0.013662933593750006,3.4977110000000016,256
1,5,96,15,ok,0,353,1.37890625,0.014258765625000003,3.6502440000000007,256
1,5,96,16,ok,0,359,1.40234375,0.014137902343750003,3.619303000000001,256
1,5,96,17,ok,0,351,1.37109375,0.0138055,3.534208,256
1,5,96,18,ok,0,338,1.3203125,0.014737187499999997,3.772719999999999,256
1,5,96,19,ok,0,338,1.3203125,0.016662773437499986,4.2656699999999965,256
1,5,128,10,ok,0,447,1.74609375,0.03181856640625001,8.145553000000003,256
1,5,128,11,ok,0,429,1.67578125,0.03468772265624999,8.880056999999997,256
1,5,128,12,ok,0,442,1.7265625,0.035759281250000025,9.154376000000006,256
1,5,128,13,ok,0,384,1.5,0.09919725781250001,25.394498000000002,256
1,5,128,14,ok,0,444,1.734375,0.032933203125,8.4309,256
1,5,128,15,ok,0,447,1.74609375,0.032812921875,8.400108,256
1,5,128,16,ok,0,453,1.76953125,0.03007505468749999,7.699213999999998,256
1,5,128,17,ok,0,426,1.6640625,0.03193545312499999,8.175475999999998,256
1,5,128,18,ok,0,438,1.7109375,0.03140889062499999,8.040675999999998,256
1,5,128,19,ok,0,421,1.64453125,0.050843999999999966,13.016063999999991,256
1,5,160,10,ok,0,469,1.83203125,0.14774453125,37.8226,256
1,5,160,11,ok,0,339,1.32421875,0.29516526171875,75.562307,256
1,5,160,12,ok,0,438,1.7109375,0.20149149218750004,51.58182200000001,256
1,5,160,13,ok,0,372,1.453125,0.29356006640625,75.151377,256
1,5,160,14,ok,0,297,1.16015625,0.3348046328124999,85.70998599999997,256
1,5,160,15,ok,0,346,1.3515625,0.28867218359374996,73.90007899999999,256
1,5,160,16,ok,0,349,1.36328125,0.31927665234374986,81.73482299999996,256
1,5,160,17,ok,0,316,1.234375,0.26668708984375,68.271895,256
1,5,160,18,ok,0,331,1.29296875,0.30662076171874997,78.49491499999999,256
1,5,160,19,ok,0,303,1.18359375,0.33378673437499995,85.44940399999999,256
1,5,192,10,ok,0,389,1.51953125,0.44744336328124984,114.54550099999996,256
1,5,192,11,ok,0,354,1.3828125,0.43336270703125,110.940853,256
1,5,192,12,ok,0,422,1.6484375,0.4585726562500002,117.39460000000005,256
1,5,192,13,ok,0,383,1.49609375,0.41003410156249986,104.96872999999997,256
1,5,192,14,ok,0,339,1.32421875,0.44115364062499995,112.93533199999999,256
1,5,192,15,ok,0,356,1.390625,0.45007764453124993,115.21987699999998,256
1,5,192,16,ok,0,336,1.3125,0.3820535468749999,97.80570799999998,256
1,5,192,17,ok,0,290,1.1328125,0.46609155468749996,119.31943799999999,256
1,5,192,18,ok,0,349,1.36328125,0.45503117578125,116.487981,256
1,5,192,19,ok,0,306,1.1953125,0.4602055273437498,117.81261499999995,256
1,5,224,10,ok,0,375,1.46484375,0.6321369843750001,161.82706800000003,256
1,5,224,11,ok,0,364,1.421875,0.6492274218750002,166.20222000000004,256
1,5,224,12,ok,0,413,1.61328125,0.706312078125,180.815892,256
1,5,224,13,ok,0,382,1.4921875,0.5786660234375003,148.13850200000007,256
1,5,224,14,ok,0,408,1.59375,0.4983915703125001,127.58824200000002,256
1,5,224,15,ok,0,383,1.49609375,0.5380544765624997,137.74194599999993,256
1,5,224,16,ok,0,320,1.25,0.6110597421875,156.431294,256
1,5,224,17,ok,0,388,1.515625,0.57746869921875,147.831987,256
1,5,224,18,ok,0,283,1.10546875,0.5889932617187499,150.78227499999997,256
1,5,224,19,ok,0,319,1.24609375,0.6187852343750005,158.40902000000014,256
1,10,96,10,ok,0,359,1.40234375,0.02573868359375001,6.589103000000002,256
1,10,96,11,ok,0,330,1.2890625,0.026956015625000003,6.900740000000001,256
1,10,96,12,ok,0,362,1.4140625,0.024195656250000013,6.194088000000003,256
1,10,96,13,ok,0,368,1.4375,0.027193378906249982,6.961504999999995,256
1,10,96,14,ok,0,358,1.3984375,0.02395669921874999,6.132914999999997,256
1,10,96,15,ok,0,349,1.36328125,0.02795574609375,7.156671,256
1,10,96,16,ok,0,357,1.39453125,0.03275036718750001,8.384094000000003,256
1,10,96,17,ok,0,350,1.3671875,0.02561828124999999,6.558279999999997,256
1,10,96,18,ok,0,345,1.34765625,0.03229040625,8.266344,256
1,10,96,19,ok,0,351,1.37109375,0.03814194531250001,9.764338000000002,256
1,10,128,10,ok,0,408,1.59375,0.21571889062500021,55.224036000000055,256
1,10,128,11,ok,0,435,1.69921875,0.05780950781249999,14.799233999999997,256
1,10,128,12,ok,0,473,1.84765625,0.06430689453125003,16.46256500000001,256
1,10,128,13,ok,0,460,1.796875,0.057049636718750005,14.604707000000001,256
1,10,128,14,ok,0,443,1.73046875,0.07480226562500006,19.149380000000015,256
1,10,128,15,ok,0,458,1.7890625,0.07430418359375003,19.021871000000008,256
1,10,128,16,ok,0,458,1.7890625,0.08120946875000001,20.789624000000003,256
1,10,128,17,ok,0,454,1.7734375,0.06505770703125002,16.654773000000006,256
1,10,128,18,ok,0,450,1.7578125,0.07322699218749999,18.746109999999998,256
1,10,128,19,ok,0,430,1.6796875,0.09182219531249995,23.506481999999988,256
1,10,160,10,ok,0,405,1.58203125,1.4916707204724409,378.884363,254
1,10,160,11,ok,0,392,1.53125,1.485522866141732,377.3228079999999,254
1,10,160,12,ok,0,465,1.81640625,0.8265473554687505,211.59612300000012,256
1,10,160,13,ok,0,396,1.546875,1.1874409843749996,303.9848919999999,256
1,10,160,14,ok,0,389,1.51953125,1.28797120703125,329.720629,256
1,10,160,15,ok,0,366,1.4296875,1.4584408203124992,373.3608499999998,256
1,10,160,16,ok,0,366,1.4296875,2.1437269803921555,546.6503799999997,255
1,10,160,17,ok,0,465,1.81640625,0.6826118749999998,174.74863999999994,256
1,10,160,18,ok,0,380,1.484375,1.3205260866141735,335.4136260000001,254
1,10,160,19,ok,0,440,1.71875,0.8367198710937501,214.20028700000003,256
1,10,192,10,ok,0,453,1.76953125,2.0116225537848598,504.91726099999977,251
1,10,192,11,ok,0,363,1.41796875,2.1222826377952764,539.0597900000002,254
1,10,192,12,ok,0,453,1.76953125,1.821589756862745,464.505388,255
1,10,192,13,ok,0,386,1.5078125,1.79465530078125,459.431757,256
1,10,192,14,ok,0,412,1.609375,1.7647471181102359,448.24576799999994,254
1,10,192,15,ok,0,485,1.89453125,1.6448962627450983,419.4485470000001,255
1,10,192,16,ok,0,372,1.453125,1.9913364404761913,501.8167830000002,252
1,10,192,17,ok,0,382,1.4921875,2.194294027667983,555.1563889999998,253
1,10,192,18,ok,0,387,1.51171875,1.6854321098039216,429.785188,255
1,10,192,19,ok,0,349,1.36328125,1.9818462392156857,505.3707909999998,255
1,10,224,10,ok,0,416,1.625,2.582777419607843,658.6082419999999,255
