simulation_window,planning_window,num_agents,seed,status,returncode,completed_tasks,throughput_per_step,mean_solver_time,total_solver_time,planning_calls
1,5,32,10,ok,0,320,1.25,0.001327488281249999,0.3398369999999997,256
1,5,32,11,ok,0,305,1.19140625,0.0013866718749999999,0.35498799999999997,256
1,5,32,12,ok,0,312,1.21875,0.0013474960937499994,0.34495899999999985,256
1,5,32,13,ok,0,329,1.28515625,0.0015117265625000011,0.3870020000000003,256
1,5,32,14,ok,0,313,1.22265625,0.0014303554687499999,0.36617099999999997,256
1,5,32,15,ok,0,331,1.29296875,0.0013408867187499997,0.34326699999999993,256
1,5,32,16,ok,0,314,1.2265625,0.0014654570312499999,0.37515699999999996,256
1,5,32,17,ok,0,298,1.1640625,0.0014555039062499999,0.37260899999999997,256
1,5,32,18,ok,0,330,1.2890625,0.0013978984374999992,0.3578619999999998,256
1,5,32,19,ok,0,320,1.25,0.00166750390625,0.426881,256
1,5,64,10,ok,0,581,2.26953125,0.0085335234375,2.184582,256
1,5,64,11,ok,0,562,2.1953125,0.007748078124999994,1.9835079999999985,256
1,5,64,12,ok,0,602,2.3515625,0.007266175781249997,1.8601409999999992,256
1,5,64,13,ok,0,593,2.31640625,0.007329171875000001,1.8762680000000003,256
1,5,64,14,ok,0,565,2.20703125,0.007547980468749995,1.9322829999999986,256
1,5,64,15,ok,0,586,2.2890625,0.006633898437499998,1.6982779999999995,256
1,5,64,16,ok,0,569,2.22265625,0.007710988281249996,1.974012999999999,256
1,5,64,17,ok,0,564,2.203125,0.008149492187500003,2.0862700000000007,256
1,5,64,18,ok,0,583,2.27734375,0.009285734375000002,2.3771480000000005,256
1,5,64,19,ok,0,579,2.26171875,0.008674296875,2.22062,256
1,5,96,10,ok,0,720,2.8125,0.0365385390625,9.353866,256
1,5,96,11,ok,0,760,2.96875,0.029431167968749995,7.534378999999999,256
1,5,96,12,ok,0,764,2.984375,0.029952316406250023,7.667793000000006,256
1,5,96,13,ok,0,732,2.859375,0.034384851562500006,8.802522000000002,256
1,5,96,14,ok,0,745,2.91015625,0.029698292968749977,7.602762999999994,256
1,5,96,15,ok,0,761,2.97265625,0.029146511718749987,7.461506999999997,256
1,5,96,16,ok,0,685,2.67578125,0.04403136718750003,11.272030000000008,256
1,5,96,17,ok,0,621,2.42578125,0.050899660156249985,13.030312999999996,256
1,5,96,18,ok,0,665,2.59765625,0.05035427734375003,12.890695000000008,256
1,5,96,19,ok,0,737,2.87890625,0.03461397265624999,8.861176999999998,256
1,5,128,10,ok,0,536,2.09375,0.16776031640624992,42.94664099999998,256
1,5,128,11,ok,0,579,2.26171875,0.13650818749999996,34.94609599999999,256
1,5,128,12,ok,0,657,2.56640625,0.12452037109375003,31.877215000000007,256
1,5,128,13,ok,0,649,2.53515625,0.14575175390625003,37.31244900000001,256
1,5,128,14,ok,0,677,2.64453125,0.13865842578125,35.496557,256
1,5,128,15,ok,0,378,1.4765625,0.15658706640625003,40.08628900000001,256
1,5,128,16,ok,0,669,2.61328125,0.13928017578125,35.655725,256
1,5,128,17,ok,0,686,2.6796875,0.13229805859375002,33.868303000000004,256
