mode,num_agents,seed,status,returncode,completed_tasks,throughput_per_step,mean_solver_time,total_solver_time,planning_calls
learned,96,10,ok,0,341,1.33203125,0.13837623828124998,35.424316999999995,256
learned,96,11,ok,0,343,1.33984375,0.22819100390625008,58.41689700000002,256
learned,96,12,ok,0,335,1.30859375,0.19507576562500004,49.93939600000001,256
learned,96,13,ok,0,355,1.38671875,0.16656567968750005,42.64081400000001,256
learned,96,14,ok,0,328,1.28125,0.20938575,53.602752,256
learned,96,15,ok,0,332,1.296875,0.14922996093749993,38.20286999999998,256
learned,96,16,ok,0,346,1.3515625,0.19339057031250007,49.50798600000002,256
learned,96,17,ok,0,347,1.35546875,0.18455023437500007,47.24486000000002,256
learned,96,18,ok,0,333,1.30078125,0.18598569921875005,47.61233900000001,256
learned,96,19,ok,0,342,1.3359375,0.22890992578124986,58.60094099999996,256
learned,128,10,ok,0,428,1.671875,0.4345514687499999,111.24517599999997,256
learned,128,11,ok,0,415,1.62109375,0.5917625117187498,151.49120299999996,256
learned,128,12,ok,0,440,1.71875,0.6487088242187494,166.06945899999985,256
learned,128,13,ok,0,457,1.78515625,0.5457506562499996,139.7121679999999,256
learned,128,14,ok,0,431,1.68359375,0.5933047343750002,151.88601200000005,256
learned,128,15,ok,0,453,1.76953125,0.5443949570312498,139.36510899999996,256
learned,128,16,ok,0,438,1.7109375,0.7460331992187503,190.98449900000008,256
learned,128,17,ok,0,438,1.7109375,0.555321484375,142.1623,256
learned,128,18,ok,0,438,1.7109375,0.587631671875,150.433708,256
learned,128,19,ok,0,422,1.6484375,0.6817222148437504,174.5208870000001,256
learned,160,10,ok,0,515,2.01171875,1.7092015117187505,437.5555870000001,256
learned,160,11,ok,0,491,1.91796875,2.065229957031251,528.6988690000003,256
learned,160,12,ok,0,516,2.015625,2.0374265234375004,521.5811900000001,256
learned,160,13,ok,0,527,2.05859375,1.7009132109375003,435.43378200000006,256
learned,160,14,ok,0,513,2.00390625,2.078983925781249,532.2198849999997,256
learned,160,15,ok,0,533,2.08203125,1.7458015625000003,446.9252000000001,256
learned,160,16,ok,0,502,1.9609375,3.199053347656251,818.9576570000003,256
learned,160,17,ok,0,524,2.046875,1.8858970078124995,482.78963399999986,256
learned,160,18,ok,0,529,2.06640625,1.7694663125000005,452.98337600000013,256
learned,160,19,ok,0,517,2.01953125,2.286397871093752,585.3178550000005,256
learned,192,10,ok,0,591,2.30859375,4.987130714843749,1276.7054629999998,256
learned,192,11,ok,0,565,2.20703125,5.412927347656249,1385.7094009999998,256
learned,192,12,ok,0,608,2.375,4.3532811562500004,1114.4399760000001,256
learned,192,13,ok,0,588,2.296875,4.417034921874998,1130.7609399999994,256
learned,192,14,ok,0,567,2.21484375,5.647500074218753,1445.7600190000007,256
learned,192,15,ok,0,615,2.40234375,3.7297190937500004,954.8080880000001,256
learned,192,16,ok,0,577,2.25390625,7.3158005625,1872.844944,256
learned,192,17,ok,0,562,2.1953125,4.5604350625,1167.471376,256
learned,192,18,ok,0,587,2.29296875,5.801459378906247,1485.1736009999993,256
learned,192,19,ok,0,602,2.3515625,4.730112035156251,1210.9086810000003,256
learned,224,10,ok,0,644,2.515625,8.360255144531251,2140.2253170000004,256
learned,224,11,ok,0,621,2.42578125,12.262499796874994,3139.1999479999986,256
learned,224,12,ok,0,628,2.453125,12.468470718750009,3191.9285040000022,256
learned,224,13,ok,0,633,2.47265625,11.04281058984375,2826.959511,256
learned,224,14,ok,0,653,2.55078125,10.570565007812503,2706.0646420000007,256
learned,224,15,ok,0,660,2.578125,10.085242925781241,2581.8221889999977,256
learned,224,16,ok,0,648,2.53125,12.957357363281236,3317.0834849999965,256
learned,224,17,ok,0,598,2.3359375,11.828898582031252,3028.1980370000006,256
learned,224,18,ok,0,627,2.44921875,11.244192593749998,2878.5133039999996,256
learned,224,19,ok,0,650,2.5390625,11.808179403162052,2987.4693889999994,253
