algorithm,num_agents,mean,std,ci95
"baseline sim=1, plan=10",96,1.378515625,0.04127624704207582,0.02558328296768251
"baseline sim=1, plan=10",128,1.745703125,0.0726709494538997,0.04504192112025333
"baseline sim=1, plan=10",160,1.5875,0.14603315922676602,0.09051228982505634
"baseline sim=1, plan=10",192,1.57890625,0.17591912031487966,0.10903580041697057
"baseline sim=1, plan=10",224,1.67734375,0.12117352882763492,0.0751041312702182
"baseline sim=1, plan=20",96,1.378515625,0.04849102385525854,0.030055047965410503
"baseline sim=1, plan=20",128,1.78203125,0.05761038242534457,0.03570728496613513
"baseline sim=1, plan=20",160,2.035546875,0.07822151156786608,0.0484821951608304
"baseline sim=1, plan=20",192,2.316015625,0.07923366990500051,0.049109537397652794
"baseline sim=1, plan=20",224,2.433984375,0.21683069524741116,0.1343930572694546
"baseline sim=1, plan=5",96,1.353125,0.028539100401661424,0.01768871768972936
"baseline sim=1, plan=5",128,1.691796875,0.07843795823515996,0.04861635019510827
"baseline sim=1, plan=5",160,1.390625,0.2205945913691436,0.13672594425516058
"baseline sim=1, plan=5",192,1.3765625,0.15208422516861786,0.09426277935208861
"baseline sim=1, plan=5",224,1.419921875,0.16592496503319615,0.10284135879698435
"baseline sim=5, plan=10",96,1.401953125,0.05226044106288046,0.03239135695560385
"baseline sim=5, plan=10",128,1.779296875,0.039246528315368595,0.02432525026724774
"baseline sim=5, plan=10",160,2.054296875,0.19405366897624574,0.12027571012634915
"baseline sim=5, plan=10",192,1.673046875,0.4337092798414312,0.2688157966634537
"baseline sim=5, plan=10",224,1.45703125,0.1095299002334015,0.06788733549919716
"baseline sim=5, plan=20",96,1.407421875,0.040805305671200894,0.025291390481914606
"baseline sim=5, plan=20",128,1.79453125,0.053629396753837884,0.033239844483461754
"baseline sim=5, plan=20",160,2.15546875,0.04878209636072668,0.030235456573390603
"baseline sim=5, plan=20",192,2.469140625,0.06809410335625515,0.04220516251920574
"baseline sim=5, plan=20",224,2.76796875,0.06374093583437312,0.03950704133574379
"learned cost sim=1, plan=5",96,1.335546875,0.03842580064159907,0.02381655798483045
"learned cost sim=1, plan=5",128,1.699609375,0.05519512666330668,0.0342102939355176
"learned cost sim=1, plan=5",160,1.9234375,0.0644287885452053,0.039933376862890155
"learned cost sim=1, plan=5",192,2.19296875,0.04389392249835578,0.02720573502460769
"learned cost sim=1, plan=5",224,2.3640625,0.11277575194027498,0.06989913523000676
