algorithm,num_agents,mean,std,ci95
"baseline sim=1, plan=10",96,0.028479717968749967,0.004532368569815771,0.0028091911436916328
"baseline sim=1, plan=10",128,0.08553077421874998,0.04696211824821512,0.029107422452461222
"baseline sim=1, plan=10",160,1.272117876690175,0.4260347543677465,0.26405907649371974
"baseline sim=1, plan=10",192,1.901270244724325,0.18563987464448237,0.11506078637124216
"baseline sim=1, plan=10",224,2.5422236134839347,0.1711824959866737,0.10610001024262221
"baseline sim=1, plan=20",96,0.06749843984375,0.01365949331371,0.008466241668812238
"baseline sim=1, plan=20",128,0.16889802734375,0.026411430811812464,0.01636997441533836
"baseline sim=1, plan=20",160,0.6767396925781249,0.17033136553160247,0.1055724741211259
"baseline sim=1, plan=20",192,1.8029061565764528,0.979580558542545,0.6071503204564132
"baseline sim=1, plan=20",224,5.473081904671198,3.7561774793578797,2.3281029215977953
"baseline sim=1, plan=5",96,0.014544134374999951,0.0010113168979838925,0.0006268207074336683
"baseline sim=1, plan=5",128,0.04114723515624995,0.021241543026501587,0.013165644768121432
"baseline sim=1, plan=5",160,0.2787809406249999,0.060050363687436034,0.03721960102045802
"baseline sim=1, plan=5",192,0.4404025917968749,0.026069107270786956,0.01615780008641676
"baseline sim=1, plan=5",224,0.5999095492187501,0.058194092020425386,0.03606907192139493
"baseline sim=5, plan=10",96,0.02843289230769227,0.0031750446811684772,0.0019679130815979198
"baseline sim=5, plan=10",128,0.07572283076923073,0.014712817326920504,0.009119098656007556
"baseline sim=5, plan=10",160,0.30006473076923074,0.2534405377460138,0.15708407273627495
"baseline sim=5, plan=10",192,1.3649791722873108,0.5698514479054336,0.35319758665188766
"baseline sim=5, plan=10",224,2.2761876549330142,0.6455417751334812,0.40011093750516924
"baseline sim=5, plan=20",96,0.06826027692307689,0.0077608868439578,0.004810247501589517
"baseline sim=5, plan=20",128,0.1820880288461538,0.01783513598538149,0.011054331810156859
"baseline sim=5, plan=20",160,0.4951021576923077,0.07584155964417692,0.04700708567592124
"baseline sim=5, plan=20",192,1.0391288346153846,0.22309501375878169,0.1382757221084531
"baseline sim=5, plan=20",224,2.0825811365384617,0.4173729898262407,0.25869045921030026
"learned cost sim=1, plan=5",96,0.04786067265624996,0.0029014999692865413,0.0017983683126353972
"learned cost sim=1, plan=5",128,0.12450326757812495,0.01968678613414109,0.012201996462531365
"learned cost sim=1, plan=5",160,0.3835858285156251,0.08457890298462636,0.05242254718424719
"learned cost sim=1, plan=5",192,0.7987492109375,0.09823793136633599,0.06088850068522009
"learned cost sim=1, plan=5",224,1.6142014429687503,0.18527396530496995,0.1148339934129647
