mode,num_agents,seed,status,returncode,completed_tasks,throughput_per_step,mean_solver_time,total_solver_time,planning_calls
learned,96,10,ok,0,341,1.33203125,0.09302977734375001,23.815623000000002,256
learned,96,11,ok,0,346,1.3515625,0.12427396484375006,31.814135000000014,256
learned,96,12,ok,0,354,1.3828125,0.14566769140625,37.290929,256
learned,96,13,ok,0,359,1.40234375,0.12595188281249994,32.243681999999986,256
learned,96,14,ok,0,330,1.2890625,0.11191255078124994,28.649612999999984,256
learned,96,15,ok,0,339,1.32421875,0.12817703124999993,32.81331999999998,256
learned,96,16,ok,0,360,1.40625,0.1723365937499999,44.118167999999976,256
learned,96,17,ok,0,341,1.33203125,0.13555491796875005,34.70205900000001,256
learned,96,18,ok,0,344,1.34375,0.12616069531249996,32.29713799999999,256
learned,96,19,ok,0,329,1.28515625,0.16881730859375008,43.21723100000002,256
learned,128,10,ok,0,462,1.8046875,0.3168881640625003,81.12337000000008,256
learned,128,11,ok,0,423,1.65234375,0.40952215234375,104.837671,256
learned,128,12,ok,0,453,1.76953125,0.3780832890625002,96.78932200000006,256
learned,128,13,ok,0,459,1.79296875,0.35862624609375027,91.80831900000007,256
learned,128,14,ok,0,441,1.72265625,0.31349050390625016,80.25356900000004,256
learned,128,15,ok,0,454,1.7734375,0.3727821171875002,95.43222200000005,256
learned,128,16,ok,0,424,1.65625,0.7473487539062493,191.32128099999983,256
learned,128,17,ok,0,435,1.69921875,0.35868213671874993,91.82262699999998,256
learned,128,18,ok,0,426,1.6640625,0.46477135546875015,118.98146700000004,256
learned,128,19,ok,0,443,1.73046875,0.4041393125,103.459664,256
learned,160,10,ok,0,528,2.0625,0.9931804999999999,254.25420799999998,256
learned,160,11,ok,0,511,1.99609375,1.2347304609375,316.090998,256
learned,160,12,ok,0,534,2.0859375,1.2248211562500002,313.55421600000005,256
learned,160,13,ok,0,558,2.1796875,1.1946205078125003,305.8228500000001,256
learned,160,14,ok,0,516,2.015625,1.5201565156249996,389.1600679999999,256
learned,160,15,ok,0,534,2.0859375,1.1112788125000006,284.48737600000015,256
learned,160,16,ok,0,514,2.0078125,1.8281258476562503,468.0002170000001,256
learned,160,17,ok,0,521,2.03515625,1.3721716679687508,351.2759470000002,256
learned,160,18,ok,0,523,2.04296875,1.3208471874999999,338.13687999999996,256
learned,160,19,ok,0,543,2.12109375,0.98906124609375,253.199679,256
learned,192,10,ok,0,620,2.421875,2.1368172226562496,547.0252089999999,256
learned,192,11,ok,0,594,2.3203125,3.1600059140624994,808.9615139999999,256
learned,192,12,ok,0,634,2.4765625,3.1991289257812507,818.9770050000002,256
learned,192,13,ok,0,621,2.42578125,2.74927818359375,703.815215,256
learned,192,14,ok,0,587,2.29296875,3.5061990039062514,897.5869450000004,256
learned,192,15,ok,0,621,2.42578125,2.448552218750001,626.8293680000003,256
learned,192,16,ok,0,588,2.296875,4.916163832031251,1258.5379410000003,256
learned,192,17,ok,0,618,2.4140625,2.530035398437498,647.6890619999995,256
learned,192,18,ok,0,612,2.390625,2.6234923476562493,671.6140409999998,256
learned,192,19,ok,0,596,2.328125,2.5771611406250012,659.7532520000003,256
learned,224,10,ok,0,673,2.62890625,5.292391539062496,1354.852233999999,256
learned,224,11,ok,0,666,2.6015625,6.309658343749996,1615.272535999999,256
learned,224,12,ok,0,668,2.609375,7.1085789257812495,1819.7962049999999,256
learned,224,13,ok,0,626,2.4453125,6.672095964843757,1708.056567000002,256
learned,224,14,ok,0,662,2.5859375,5.858591300781249,1499.7993729999998,256
learned,224,15,ok,0,703,2.74609375,5.349553714843747,1369.4857509999993,256
learned,224,16,ok,0,647,2.52734375,9.278025785156252,2375.1746010000006,256
learned,224,17,ok,0,662,2.5859375,6.647950003906249,1701.8752009999998,256
learned,224,18,ok,0,694,2.7109375,5.2566686875,1345.707184,256
learned,224,19,ok,0,653,2.55078125,6.691003777343758,1712.896967000002,256
