algorithm,num_agents,mean,std,ci95
"baseline sim=1, plan=10",32,1.24140625,0.03874873989886638,0.02401671781020462
"baseline sim=1, plan=10",64,2.280078125,0.055824307903140004,0.034600264508186304
"baseline sim=1, plan=10",96,3.06796875,0.07773775554486234,0.04818236007138515
"baseline sim=1, plan=10",128,3.533984375,0.1665959526092433,0.1032572412052933
"baseline sim=1, plan=10",160,3.10703125,0.3368155112002259,0.2087604166666667
"baseline sim=1, plan=10",192,3.005078125,0.20976922166117884,0.13001631059621072
"baseline sim=1, plan=20",32,1.254296875,0.02487285921308663,0.015416357858675189
"baseline sim=1, plan=20",64,2.317578125,0.04805551949109512,0.029785119563957338
"baseline sim=1, plan=20",96,3.25546875,0.0686582010229538,0.04255479387531837
"baseline sim=1, plan=20",128,3.933203125,0.08874154063997451,0.05500257673296428
"baseline sim=1, plan=20",160,4.535546875,0.10370094457114613,0.06427451134971618
"baseline sim=1, plan=20",192,5.005859375,0.10069491214570499,0.062411353149512176
"baseline sim=1, plan=5",32,1.2390625,0.042822509981446794,0.026541666666666658
"baseline sim=1, plan=5",64,2.259375,0.052089843343149825,0.032285619393439796
"baseline sim=1, plan=5",96,2.80859375,0.18559141461038364,0.11503075053092685
"baseline sim=1, plan=5",128,2.262109375,0.41632248968658525,0.2580393524780675
"baseline sim=1, plan=5",160,1.903125,0.22214014868934032,0.13768389060684946
"baseline sim=1, plan=5",192,1.517578125,0.2352144255973995,0.1457874113895348
"baseline sim=5, plan=10",32,1.249609375,0.030058107967746304,0.018630208333333325
"baseline sim=5, plan=10",64,2.339453125,0.042170215723707445,0.02613737049708203
"baseline sim=5, plan=10",96,3.19921875,0.062391398701619534,0.038670589554954816
"baseline sim=5, plan=10",128,3.676953125,0.21910661965066117,0.13580368982919397
"baseline sim=5, plan=10",160,3.260546875,0.5092163088376078,0.31561553809559156
"baseline sim=5, plan=10",192,2.50390625,0.5736914741845859,0.3555776595980242
"baseline sim=5, plan=20",32,1.26875,0.02979467132284077,0.018466928609190646
"baseline sim=5, plan=20",64,2.387109375,0.05607884115940029,0.0347580258548745
"baseline sim=5, plan=20",96,3.315234375,0.03415580763030604,0.02116998889712779
"baseline sim=5, plan=20",128,4.1328125,0.09194220543702993,0.05698636932690576
"baseline sim=5, plan=20",160,4.865625,0.09595214555241117,0.05947175595982045
"baseline sim=5, plan=20",192,5.440234375,0.10731015339317794,0.06651152215375976
"learned cost sim=1, plan=5",32,1.20859375,0.03590540535463367,0.02225440080152064
"learned cost sim=1, plan=5",64,2.24375,0.041756088939718335,0.025880692057094746
"learned cost sim=1, plan=5",96,3.13359375,0.04368484732051456,0.027076148886827814
"learned cost sim=1, plan=5",128,3.973046875,0.06490725429531162,0.04022993300722267
"learned cost sim=1, plan=5",160,4.855859375,0.06883699711862064,0.042665612843532666
"learned cost sim=1, plan=5",192,5.567578125,0.10298894776404477,0.06383321115666343
