algorithm,num_agents,mean,std,ci95
"baseline sim=1, plan=10",32,0.00275549492187495,0.000488423630265801,0.00030272810239882503
"baseline sim=1, plan=10",64,0.01753052421874999,0.0013221711102396315,0.0008194901443068387
"baseline sim=1, plan=10",96,0.07842993359375,0.010451111945026141,0.006477666294224312
"baseline sim=1, plan=10",128,0.301399848046875,0.06853105598713768,0.04247598856567129
"baseline sim=1, plan=10",160,0.8857911785156249,0.14484758803631098,0.08977746518819377
"baseline sim=1, plan=10",192,1.4138646138204658,0.1221991084244571,0.07573979208997823
"baseline sim=1, plan=20",32,0.00339694453124992,0.0002315923967544201,0.00014354245465418548
"baseline sim=1, plan=20",64,0.02423641992187495,0.0019710561253488694,0.0012216732434172396
"baseline sim=1, plan=20",96,0.10885921249999994,0.012630744078282715,0.007828616286691265
"baseline sim=1, plan=20",128,0.36817496640624997,0.0558093003485231,0.03459096272946534
"baseline sim=1, plan=20",160,0.9484802925781249,0.12322254664894497,0.07637412567341487
"baseline sim=1, plan=20",192,2.176947660546875,0.23489246306575667,0.14558785694497461
"baseline sim=1, plan=5",32,0.00143309882812492,0.00010168778275543336,6.30267407290342e-05
"baseline sim=1, plan=5",64,0.00788793398437495,0.0007813984835100641,0.0004843157977462918
"baseline sim=1, plan=5",96,0.03690509570312495,0.00853477638998744,0.005289909211667603
"baseline sim=1, plan=5",128,0.14586539101562496,0.01392750221305181,0.008632355305614762
"baseline sim=1, plan=5",160,0.279028400390625,0.014289616740154438,0.008856796214792661
"baseline sim=1, plan=5",192,0.48972642695312507,0.030205622463891482,0.01872163876529266
"baseline sim=5, plan=10",32,0.00288006346153841,0.00023966475463219313,0.0001485457539026116
"baseline sim=5, plan=10",64,0.01770353846153843,0.0011848976631160448,0.0007344071802928869
"baseline sim=5, plan=10",96,0.07034518461538455,0.008480779917266562,0.00525644185114263
"baseline sim=5, plan=10",128,0.25341437499999997,0.05920789294179058,0.03669743224247122
"baseline sim=5, plan=10",160,0.7039373369723403,0.10898068325162319,0.06754692728715286
"baseline sim=5, plan=10",192,1.400621727723665,0.40132368495171566,0.24874299699017557
"baseline sim=5, plan=20",32,0.00465619038461534,0.0004957617360378968,0.00030727630747723106
"baseline sim=5, plan=20",64,0.03697444038461535,0.003406856895562521,0.0021115917806366798
"baseline sim=5, plan=20",96,0.1684652269230769,0.008938567974719171,0.005540181828788786
"baseline sim=5, plan=20",128,0.5013462596153845,0.05925310531565497,0.03672545516211879
"baseline sim=5, plan=20",160,1.1550991596153846,0.12754185631657008,0.07905126154139379
"baseline sim=5, plan=20",192,2.5232553173076924,0.2249437222685388,0.13942156351408444
"learned cost sim=1, plan=5",32,0.00463599921874993,0.00048550093744223423,0.0003009165986190191
"learned cost sim=1, plan=5",64,0.025028125781249973,0.0021740173666207076,0.0013474699240514194
"learned cost sim=1, plan=5",96,0.07614467499999995,0.0053174878074765146,0.0032958130887529406
"learned cost sim=1, plan=5",128,0.17829589726562498,0.007421883892913401,0.00460013129566102
"learned cost sim=1, plan=5",160,0.354285771484375,0.015676532548554233,0.00971641553877032
"learned cost sim=1, plan=5",192,0.6281881769531251,0.03715072065050503,0.023026255218560634
