mode,num_agents,seed,status,returncode,completed_tasks,throughput_per_step,mean_solver_time,total_solver_time,planning_calls
learned,32,10,ok,0,317,1.23828125,0.004226480468749999,1.0819789999999998,256
learned,32,11,ok,0,289,1.12890625,0.005224273437499998,1.3374139999999994,256
learned,32,12,ok,0,316,1.234375,0.004246101562499999,1.0870019999999998,256
learned,32,13,ok,0,314,1.2265625,0.004623898437500001,1.1837180000000003,256
learned,32,14,ok,0,308,1.203125,0.003893281249999999,0.9966799999999998,256
learned,32,15,ok,0,309,1.20703125,0.0050492226562499996,1.2926009999999999,256
learned,32,16,ok,0,302,1.1796875,0.005434433593749998,1.3912149999999994,256
learned,32,17,ok,0,304,1.1875,0.004508027343750001,1.1540550000000003,256
learned,32,18,ok,0,319,1.24609375,0.004387039062500001,1.1230820000000004,256
learned,32,19,ok,0,316,1.234375,0.004767234374999999,1.2204119999999998,256
learned,64,10,ok,0,583,2.27734375,0.02357578125,6.0354,256
learned,64,11,ok,0,560,2.1875,0.02679795703125,6.860277,256
learned,64,12,ok,0,568,2.21875,0.022904160156250006,5.8634650000000015,256
learned,64,13,ok,0,575,2.24609375,0.02457483984374999,6.291158999999998,256
learned,64,14,ok,0,581,2.26953125,0.024317191406250004,6.225201000000001,256
learned,64,15,ok,0,589,2.30078125,0.02379789453124999,6.092260999999997,256
learned,64,16,ok,0,576,2.25,0.02558472656250001,6.549690000000003,256
learned,64,17,ok,0,564,2.203125,0.024384707031250015,6.242485000000004,256
learned,64,18,ok,0,561,2.19140625,0.03038476953124999,7.778500999999998,256
learned,64,19,ok,0,587,2.29296875,0.02395923046875001,6.133563000000002,256
learned,96,10,ok,0,821,3.20703125,0.07296942187500005,18.680172000000013,256
learned,96,11,ok,0,795,3.10546875,0.06835433203124999,17.498708999999998,256
learned,96,12,ok,0,798,3.1171875,0.07986251953124997,20.44480499999999,256
learned,96,13,ok,0,799,3.12109375,0.07574228124999999,19.390023999999997,256
learned,96,14,ok,0,803,3.13671875,0.08155567578124999,20.878252999999997,256
learned,96,15,ok,0,804,3.140625,0.07485189843750002,19.162086000000006,256
learned,96,16,ok,0,782,3.0546875,0.07400605078125,18.945549,256
learned,96,17,ok,0,817,3.19140625,0.06897826171874996,17.65843499999999,256
learned,96,18,ok,0,807,3.15234375,0.08303748437500003,21.257596000000007,256
learned,96,19,ok,0,796,3.109375,0.08208882421875001,21.014739000000002,256
learned,128,10,ok,0,1031,4.02734375,0.1755068750000001,44.92976000000002,256
learned,128,11,ok,0,1012,3.953125,0.17571796093750014,44.983798000000036,256
learned,128,12,ok,0,1001,3.91015625,0.18908037109375,48.404575,256
learned,128,13,ok,0,1017,3.97265625,0.17687355468750002,45.279630000000004,256
learned,128,14,ok,0,1042,4.0703125,0.17247668749999995,44.15403199999999,256
learned,128,15,ok,0,994,3.8828125,0.17030615234375016,43.59837500000004,256
learned,128,16,ok,0,1038,4.0546875,0.19302639062500002,49.414756000000004,256
learned,128,17,ok,0,1004,3.921875,0.17448614062500006,44.668452000000016,256
learned,128,18,ok,0,1027,4.01171875,0.17366851953124987,44.45914099999997,256
learned,128,19,ok,0,1005,3.92578125,0.18181632031249997,46.54497799999999,256
learned,160,10,ok,0,1233,4.81640625,0.34469588281250013,88.24214600000003,256
learned,160,11,ok,0,1210,4.7265625,0.3786057656250001,96.92307600000002,256
learned,160,12,ok,0,1228,4.796875,0.37158436718750004,95.12559800000001,256
learned,160,13,ok,0,1260,4.921875,0.3459284960937498,88.55769499999995,256
learned,160,14,ok,0,1251,4.88671875,0.3290191953124999,84.22891399999997,256
learned,160,15,ok,0,1242,4.8515625,0.3502681562500001,89.66864800000002,256
learned,160,16,ok,0,1250,4.8828125,0.34670169921874994,88.75563499999998,256
learned,160,17,ok,0,1239,4.83984375,0.3605527265625,92.301498,256
learned,160,18,ok,0,1274,4.9765625,0.3438956796875,88.037294,256
learned,160,19,ok,0,1244,4.859375,0.37160574609375036,95.13107100000009,256
learned,192,10,ok,0,1445,5.64453125,0.6423723085937503,164.44731100000007,256
learned,192,11,ok,0,1420,5.546875,0.6326198593750005,161.95068400000014,256
learned,192,12,ok,0,1456,5.6875,0.6281980429687497,160.81869899999992,256
learned,192,13,ok,0,1408,5.5,0.6720258203125004,172.0386100000001,256
learned,192,14,ok,0,1398,5.4609375,0.6857637187499999,175.55551199999996,256
learned,192,15,ok,0,1402,5.4765625,0.6306216445312502,161.43914100000006,256
learned,192,16,ok,0,1444,5.640625,0.5868848867187505,150.24253100000013,256
learned,192,17,ok,0,1420,5.546875,0.6094529570312499,156.01995699999998,256
learned,192,18,ok,0,1468,5.734375,0.5585512851562501,142.98912900000002,256
learned,192,19,ok,0,1392,5.4375,0.6353912460937496,162.6601589999999,256
