nohup: Eingabe wird ignoriert
Launching 50 runs with num_process=6
[failed] mode=learned k=96 seed=15 completed=-1 throughput=-1.0000
[failed] mode=learned k=96 seed=10 completed=-1 throughput=-1.0000
[failed] mode=learned k=96 seed=14 completed=-1 throughput=-1.0000
[failed] mode=learned k=96 seed=11 completed=-1 throughput=-1.0000
[failed] mode=learned k=96 seed=12 completed=-1 throughput=-1.0000
[failed] mode=learned k=96 seed=13 completed=-1 throughput=-1.0000
[failed] mode=learned k=96 seed=16 completed=-1 throughput=-1.0000
[failed] mode=learned k=96 seed=18 completed=-1 throughput=-1.0000
[failed] mode=learned k=96 seed=19 completed=-1 throughput=-1.0000
[failed] mode=learned k=96 seed=17 completed=-1 throughput=-1.0000
[failed] mode=learned k=128 seed=11 completed=-1 throughput=-1.0000
[failed] mode=learned k=128 seed=10 completed=-1 throughput=-1.0000
[failed] mode=learned k=128 seed=13 completed=-1 throughput=-1.0000
[failed] mode=learned k=128 seed=14 completed=-1 throughput=-1.0000
[failed] mode=learned k=128 seed=12 completed=-1 throughput=-1.0000
[failed] mode=learned k=128 seed=17 completed=-1 throughput=-1.0000
[failed] mode=learned k=128 seed=16 completed=-1 throughput=-1.0000
[failed] mode=learned k=128 seed=15 completed=-1 throughput=-1.0000
[failed] mode=learned k=128 seed=18 completed=-1 throughput=-1.0000
[failed] mode=learned k=128 seed=19 completed=-1 throughput=-1.0000
[failed] mode=learned k=160 seed=10 completed=-1 throughput=-1.0000
[failed] mode=learned k=160 seed=12 completed=-1 throughput=-1.0000
[failed] mode=learned k=160 seed=11 completed=-1 throughput=-1.0000
[failed] mode=learned k=160 seed=13 completed=-1 throughput=-1.0000
[failed] mode=learned k=160 seed=14 completed=-1 throughput=-1.0000
[failed] mode=learned k=160 seed=17 completed=-1 throughput=-1.0000
[failed] mode=learned k=160 seed=15 completed=-1 throughput=-1.0000
[failed] mode=learned k=160 seed=16 completed=-1 throughput=-1.0000
[failed] mode=learned k=160 seed=18 completed=-1 throughput=-1.0000
[failed] mode=learned k=160 seed=19 completed=-1 throughput=-1.0000
[failed] mode=learned k=192 seed=10 completed=-1 throughput=-1.0000
[failed] mode=learned k=192 seed=14 completed=-1 throughput=-1.0000
[failed] mode=learned k=192 seed=11 completed=-1 throughput=-1.0000
[failed] mode=learned k=192 seed=13 completed=-1 throughput=-1.0000
[failed] mode=learned k=192 seed=12 completed=-1 throughput=-1.0000
[failed] mode=learned k=192 seed=15 completed=-1 throughput=-1.0000
[failed] mode=learned k=192 seed=16 completed=-1 throughput=-1.0000
[failed] mode=learned k=192 seed=18 completed=-1 throughput=-1.0000
[failed] mode=learned k=192 seed=17 completed=-1 throughput=-1.0000
[failed] mode=learned k=192 seed=19 completed=-1 throughput=-1.0000
[failed] mode=learned k=224 seed=11 completed=-1 throughput=-1.0000
[failed] mode=learned k=224 seed=10 completed=-1 throughput=-1.0000
[failed] mode=learned k=224 seed=12 completed=-1 throughput=-1.0000
[failed] mode=learned k=224 seed=13 completed=-1 throughput=-1.0000
[failed] mode=learned k=224 seed=14 completed=-1 throughput=-1.0000
[failed] mode=learned k=224 seed=15 completed=-1 throughput=-1.0000
[failed] mode=learned k=224 seed=17 completed=-1 throughput=-1.0000
[failed] mode=learned k=224 seed=16 completed=-1 throughput=-1.0000
[failed] mode=learned k=224 seed=18 completed=-1 throughput=-1.0000
[failed] mode=learned k=224 seed=19 completed=-1 throughput=-1.0000
Done. Summary: /home/shiqi/masterarbeit/RHCR/exp_learned/rhcr_eval_runs/rhcr_compare_20260516_180800/summary.csv
